"Bron/Techniek";"Energietoepassingen";"Perioden";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik (TJ)";"Bruto eindverbruik hernieuwbare energie/Bruto eindverbruik relatief (% van totaal eindverbruik energie)";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden verbruik van fossiele energie/Vermeden verbruik relatief (% van totaal energieverbruik)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie relatief (% van totale CO2 emissie)"
"Houtkachels huishoudens, vrijstaand";"Warmte";"2018**";"   14525";"    0.69";"   11452";"    0.37";"     648";"    0.40"
"Houtkachels huishoudens, vrijstaand";"Vervoer";"2017**";"";"";"";"";"";""
"Houtkachels huishoudens, vrijstaand";"Vervoer";"2018**";"";"";"";"";"";""
"Houtskoolverbruik door huishoudens";"Totaal energietoepassingen";"2017**";"     270";"    0.01";"";"";"";""
"Houtskoolverbruik door huishoudens";"Totaal energietoepassingen";"2018**";"     270";"    0.01";"";"";"";""
"Houtskoolverbruik door huishoudens";"Elektriciteit";"2017**";"";"";"";"";"";""
"Houtskoolverbruik door huishoudens";"Elektriciteit";"2018**";"";"";"";"";"";""
"Houtskoolverbruik door huishoudens";"Warmte";"2017**";"     270";"    0.01";"";"";"";""
"Houtskoolverbruik door huishoudens";"Warmte";"2018**";"     270";"    0.01";"";"";"";""
"Houtskoolverbruik door huishoudens";"Vervoer";"2017**";"";"";"";"";"";""
"Houtskoolverbruik door huishoudens";"Vervoer";"2018**";"";"";"";"";"";""
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2017**";"   19189";"    0.91";"   20776";"    0.66";"    1316";"    0.80"
"Totaal biomassaketels bedrijven";"Totaal energietoepassingen";"2018**";"   21230";"    1.00";"   21584";"    0.69";"    1314";"    0.82"
"Totaal biomassaketels bedrijven";"Elektriciteit";"2017**";"    4471";"    0.21";"    8474";"    0.27";"     619";"    0.38"
"Totaal biomassaketels bedrijven";"Elektriciteit";"2018**";"    3041";"    0.14";"    5579";"    0.18";"     408";"    0.25"
"Totaal biomassaketels bedrijven";"Warmte";"2017**";"   14718";"    0.70";"   12302";"    0.39";"     696";"    0.42"
"Totaal biomassaketels bedrijven";"Warmte";"2018**";"   18190";"    0.86";"   16006";"    0.51";"     906";"    0.56"
"Totaal biomassaketels bedrijven";"Vervoer";"2017**";"";"";"";"";"";""
"Totaal biomassaketels bedrijven";"Vervoer";"2018**";"";"";"";"";"";""
"Biomassaketels bedrijven, elektriciteit";"Totaal energietoepassingen";"2017**";"    9461";"    0.45";"   11577";"    0.37";"     795";"    0.48"
"Biomassaketels bedrijven, elektriciteit";"Totaal energietoepassingen";"2018**";"    9959";"    0.47";"   10904";"    0.35";"     709";"    0.44"
"Biomassaketels bedrijven, elektriciteit";"Elektriciteit";"2017**";"    4471";"    0.21";"    8474";"    0.27";"     619";"    0.38"
"Biomassaketels bedrijven, elektriciteit";"Elektriciteit";"2018**";"    3041";"    0.14";"    5579";"    0.18";"     408";"    0.25"
"Biomassaketels bedrijven, elektriciteit";"Warmte";"2017**";"    4990";"    0.24";"    3102";"    0.10";"     176";"    0.11"
"Biomassaketels bedrijven, elektriciteit";"Warmte";"2018**";"    6918";"    0.33";"    5325";"    0.17";"     301";"    0.19"
"Biomassaketels bedrijven, elektriciteit";"Vervoer";"2017**";"";"";"";"";"";""
"Biomassaketels bedrijven, elektriciteit";"Vervoer";"2018**";"";"";"";"";"";""
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2017**";"    9728";"    0.46";"    9200";"    0.29";"     521";"    0.32"
"Biomassaketels bedrijven, alleen warmte";"Totaal energietoepassingen";"2018**";"   11272";"    0.53";"   10681";"    0.34";"     605";"    0.38"
